TAHUN,SEMESTER,NO KAB,NAMA KAB,USIA,L,P,JML
2024,2,71,JAKARTA PUSAT,10-19,84168,79045,163213
2024,2,71,JAKARTA PUSAT,60-69,38731,42137,80868
2024,2,71,JAKARTA PUSAT,00-09,75379,70556,145935
2024,2,71,JAKARTA PUSAT,70+,17168,24877,42045
2024,2,71,JAKARTA PUSAT,20-29,83945,79872,163817
2024,2,72,JAKARTA UTARA,00-09,144373,135634,280007
2024,2,72,JAKARTA UTARA,30-39,144156,142976,287132
2024,2,72,JAKARTA UTARA,50-59,103682,102191,205873
2024,2,72,JAKARTA UTARA,60-69,53774,60927,114701
2024,2,72,JAKARTA UTARA,70+,25738,31652,57390
2024,2,73,JAKARTA BARAT,30-39,201559,203807,405366
2024,2,73,JAKARTA BARAT,70+,36413,46869,83282
2024,2,73,JAKARTA BARAT,00-09,194175,180998,375173
2024,2,73,JAKARTA BARAT,10-19,212889,200933,413822
2024,2,73,JAKARTA BARAT,60-69,79134,86357,165491
2024,2,74,JAKARTA SELATAN,20-29,183938,179087,363025
2024,2,74,JAKARTA SELATAN,30-39,170018,178321,348339
2024,2,74,JAKARTA SELATAN,60-69,74323,82347,156670
2024,2,74,JAKARTA SELATAN,40-49,187689,194574,382263
2024,2,74,JAKARTA SELATAN,00-09,170472,159595,330067
2024,2,75,JAKARTA TIMUR,10-19,275942,257780,533722
2024,2,75,JAKARTA TIMUR,30-39,244698,251295,495993
2024,2,75,JAKARTA TIMUR,20-29,255457,249334,504791
2024,2,75,JAKARTA TIMUR,00-09,251604,235722,487326
2024,2,75,JAKARTA TIMUR,40-49,259180,264331,523511
2025,1,71,JAKARTA PUSAT,00-09,68992,64461,133453
2025,1,71,JAKARTA PUSAT,60-69,41266,44417,85683
2025,1,71,JAKARTA PUSAT,40-49,82768,82869,165637
2025,1,71,JAKARTA PUSAT,70+,18846,26848,45694
2025,1,71,JAKARTA PUSAT,10-19,83445,78582,162027
2025,1,72,JAKARTA UTARA,30-39,142241,141114,283355
2025,1,72,JAKARTA UTARA,00-09,132309,124513,256822
2025,1,72,JAKARTA UTARA,20-29,142243,136548,278791
2025,1,72,JAKARTA UTARA,50-59,107649,106300,213949
2025,1,72,JAKARTA UTARA,70+,28449,35180,63629
2025,1,73,JAKARTA BARAT,10-19,212897,200834,413731
2025,1,73,JAKARTA BARAT,00-09,178712,166336,345048
2025,1,73,JAKARTA BARAT,30-39,198383,201197,399580
2025,1,73,JAKARTA BARAT,20-29,196649,190076,386725
2025,1,73,JAKARTA BARAT,40-49,215371,215369,430740
2025,1,74,JAKARTA SELATAN,30-39,169619,177339,346958
2025,1,74,JAKARTA SELATAN,60-69,80261,87743,168004
2025,1,74,JAKARTA SELATAN,70+,36807,46476,83283
2025,1,74,JAKARTA SELATAN,40-49,186120,193696,379816
2025,1,74,JAKARTA SELATAN,50-59,152503,151723,304226
2025,1,75,JAKARTA TIMUR,10-19,275010,257283,532293
2025,1,75,JAKARTA TIMUR,30-39,242752,249996,492748
2025,1,75,JAKARTA TIMUR,40-49,259164,264877,524041
2025,1,75,JAKARTA TIMUR,50-59,198591,198128,396719
2025,1,75,JAKARTA TIMUR,60-69,105800,116634,222434